n,K_true,M,success_rate,over_rate,under_rate,mean_selected_K,std_selected_K,mean_time,std_time
500,2,10,1.0,0.0,0.0,2.0,0.0,2.4624224662780763,0.09042683168688911
1000,2,10,1.0,0.0,0.0,2.0,0.0,5.8027842998504635,0.23930438287854386
2000,2,10,1.0,0.0,0.0,2.0,0.0,11.535678744316101,0.2723036943271355
3000,2,10,1.0,0.0,0.0,2.0,0.0,16.962420630455018,0.23487872651221572
5000,2,10,1.0,0.0,0.0,2.0,0.0,29.126775479316713,0.4168246819881204
8000,2,10,1.0,0.0,0.0,2.0,0.0,50.89731233119964,0.7344897517019037
500,3,10,0.8,0.0,0.2,2.8,0.39999999999999997,4.12939727306366,0.3239550654086695
1000,3,10,0.9,0.0,0.1,2.9,0.3,8.384750318527221,0.6408409682326697
2000,3,10,1.0,0.0,0.0,3.0,0.0,18.79371030330658,0.6320670736206683
3000,3,10,1.0,0.0,0.0,3.0,0.0,29.320301270484926,0.7396850596208365
5000,3,10,1.0,0.0,0.0,3.0,0.0,44.155223965644836,2.428343905149753
8000,3,10,1.0,0.0,0.0,3.0,0.0,65.3693913936615,1.643410668716429
500,4,10,0.7,0.0,0.3,3.7,0.45825756949558405,5.508502578735351,0.45210573136173626
1000,4,10,0.8,0.0,0.2,3.8,0.39999999999999997,10.647781443595886,0.5018689668167391
2000,4,10,1.0,0.0,0.0,4.0,0.0,23.755880665779113,0.9199096723306803
3000,4,10,1.0,0.0,0.0,4.0,0.0,33.552870297431944,2.2175842902856293
5000,4,10,1.0,0.0,0.0,4.0,0.0,56.293349504470825,2.9648795035875333
8000,4,10,1.0,0.0,0.0,4.0,0.0,99.98913972377777,2.469479804902799
500,5,10,0.0,0.0,1.0,3.4,0.48989794855663565,8.263302636146545,0.539781174386181
1000,5,10,0.3,0.0,0.7,4.3,0.45825756949558405,16.815104722976685,0.9435731399769005
2000,5,10,0.9,0.0,0.1,4.9,0.3,31.489529967308044,1.9832418868246027
3000,5,10,0.9,0.0,0.1,4.9,0.3,50.25690722465515,3.293659991330143
5000,5,10,0.9,0.0,0.1,4.9,0.3,83.04549441337585,4.872098379663127
8000,5,10,1.0,0.0,0.0,5.0,0.0,131.5136109113693,7.8853503003069
