K_true,n,success_rate,over_rate,under_rate,mean_selected_K,mean_time_sec
2,500.0,1.0,0.0,0.0,2.0,2.4624224662780763
2,1000.0,1.0,0.0,0.0,2.0,5.8027842998504635
2,2000.0,1.0,0.0,0.0,2.0,11.5356787443161
2,3000.0,1.0,0.0,0.0,2.0,16.962420630455018
2,5000.0,1.0,0.0,0.0,2.0,29.126775479316713
2,8000.0,1.0,0.0,0.0,2.0,50.89731233119964
3,500.0,0.8,0.0,0.2,2.8,4.12939727306366
3,1000.0,0.9,0.0,0.1,2.9,8.384750318527221
3,2000.0,1.0,0.0,0.0,3.0,18.79371030330658
3,3000.0,1.0,0.0,0.0,3.0,29.32030127048493
3,5000.0,1.0,0.0,0.0,3.0,44.15522396564483
3,8000.0,1.0,0.0,0.0,3.0,65.3693913936615
4,500.0,0.7,0.0,0.3,3.7,5.508502578735351
4,1000.0,0.8,0.0,0.2,3.8,10.647781443595886
4,2000.0,1.0,0.0,0.0,4.0,23.755880665779113
4,3000.0,1.0,0.0,0.0,4.0,33.552870297431944
4,5000.0,1.0,0.0,0.0,4.0,56.293349504470825
4,8000.0,1.0,0.0,0.0,4.0,99.98913972377775
5,500.0,0.0,0.0,1.0,3.4,8.263302636146545
5,1000.0,0.3,0.0,0.7,4.3,16.815104722976685
5,2000.0,0.9,0.0,0.1,4.9,31.489529967308044
5,3000.0,0.9,0.0,0.1,4.9,50.25690722465515
5,5000.0,0.9,0.0,0.1,4.9,83.04549441337585
5,8000.0,1.0,0.0,0.0,5.0,131.5136109113693
