n,K_true,M,pi_mae_mean,pi_mae_std,pi_rmse_mean,pi_rmse_std,theta_mae_mean,theta_mae_std,theta_rmse_mean,theta_rmse_std,convergence_rate,mean_iterations,mean_time,std_time
500,2,10,0.01690234937114001,0.010002296030199294,0.01690234937114001,0.010002296030199294,0.05735847185831231,0.08892609596873041,0.0724848228490878,0.10634942095771696,1.0,45.1,0.14321272373199462,0.0782499731093255
1000,2,10,0.0185452737345199,0.01307935391282987,0.0185452737345199,0.01307935391282987,0.01833089542234878,0.004568856813172759,0.023786371745299507,0.006789077831476582,1.0,48.4,0.36182360649108886,0.19965093478866724
2000,2,10,0.009419323088377781,0.00914254311607013,0.009419323088377781,0.00914254311607013,0.01376432927934984,0.00224252227813714,0.017635066165435122,0.0033267381922203786,1.0,53.6,0.7123347282409668,0.5056778972928119
3000,2,10,0.009431706954929273,0.008616817303830685,0.009431706954929273,0.008616817303830685,0.010756769327831341,0.0012443046388929192,0.014092119238920111,0.0017778055556243039,1.0,36.1,0.8385745286941528,0.2107259417398157
5000,2,10,0.006701381898985367,0.004431679509554237,0.006701381898985367,0.004431679509554237,0.009032866817990608,0.002099526387392025,0.011641568351572745,0.0031705505115097892,1.0,45.7,1.825883436203003,1.055525004516375
8000,2,10,0.005291355773579467,0.0043870726299477135,0.005291355773579467,0.0043870726299477135,0.006519904036165249,0.0011902847970795686,0.008300882746417963,0.0016254004068352236,1.0,43.5,2.5925156116485595,1.1513833944573977
500,3,10,0.01870230397671932,0.012455088712344861,0.021139780957024727,0.013931097562199825,0.04965538124085831,0.04785603347390865,0.06659277241754435,0.06704901246455344,0.9,83.7,0.33134093284606936,0.16944417643280196
1000,3,10,0.020445639602563664,0.007914984690778693,0.02290936821137275,0.009102672876675766,0.03942347755515839,0.042904344294906104,0.05219434279615111,0.060607829460382706,1.0,50.4,0.5764940261840821,0.14792406468234684
2000,3,10,0.012620809827572433,0.007396000990720893,0.014157473235364901,0.007937801331000714,0.01775636218151232,0.0028075105589936483,0.023717171111957196,0.003966590570773314,1.0,73.3,1.726979374885559,0.7256470273492707
3000,3,10,0.008536080037452005,0.004913333665631742,0.009513959005152752,0.005635629761779059,0.013499621966666625,0.0019001381915384305,0.017473088022228033,0.002482340266992032,1.0,73.8,2.3635177850723266,0.7628536735891893
5000,3,10,0.007974390426316551,0.004082288121588475,0.008850437445026902,0.004579674601439831,0.0435405379261678,0.06589679757791701,0.06309682000708279,0.09760759937911023,1.0,53.3,3.5602378845214844,0.9939818540206937
8000,3,10,0.006230988570842473,0.002660617265313196,0.007027092663531591,0.003368966840443567,0.02904138986762796,0.06119262354255476,0.04143778157433904,0.09140951732614723,1.0,50.9,4.761677479743957,1.4728188668655615
500,4,10,0.016578612746751268,0.005976915063668737,0.018996581317677955,0.0068277909419251544,0.09868824182234177,0.0590283325112515,0.14897983739783197,0.09806710191041547,1.0,99.1,0.670234990119934,0.16336044745745296
1000,4,10,0.011842301816155875,0.0039002621904976336,0.013925769649941475,0.00430144108001191,0.07094259226907487,0.0670284793306508,0.10131325709048014,0.09867161002715154,0.9,99.6,1.5756657123565674,0.4760641123525504
2000,4,10,0.014263907017690846,0.00490242333813297,0.01586835333352171,0.005414520235155138,0.03462692507241971,0.03945298655131986,0.04834076820312215,0.06234855458262993,1.0,90.7,2.699892020225525,0.5579695127781614
3000,4,10,0.008134229970240462,0.00520641106819974,0.00938181676168578,0.005931739555014826,0.07628924904068969,0.08117069227867592,0.10953495650676555,0.11112299371574899,0.9,107.3,4.173699927330017,1.4257646309141874
5000,4,10,0.00793221223604707,0.003994044052859545,0.008943748221727953,0.004568186450500241,0.025148544955762887,0.034585008690969546,0.037017578860076866,0.05820186281372936,1.0,86.1,7.4662601232528685,1.6442686604758197
8000,4,10,0.005254220952109551,0.0029139367008522246,0.005980810110439202,0.003321014630023681,0.023452822546397224,0.038587326986616,0.03459838640008664,0.06229199771219132,1.0,102.5,11.219915103912353,2.5627555648127553
500,5,10,0.016852854431710917,0.006040220462401633,0.019775958482730782,0.006894822289686153,0.1633948815740984,0.06153576402097147,0.22671481948909067,0.08371653845385998,0.8,153.6,1.3213104486465455,0.32068309903864733
1000,5,10,0.014961557754235421,0.005353415396946306,0.0169576862602516,0.0051692828630697935,0.09067497341453323,0.05805605147242792,0.13445545834404649,0.08971173185231808,0.8,133.5,2.9953771114349363,0.7558820408556627
2000,5,10,0.013260039405500107,0.004332733309348515,0.015594427011764353,0.005306446033058914,0.08470355244093927,0.040517159329660345,0.14603586889582565,0.07614313075434032,0.9,127.1,4.631784725189209,1.370041085435914
3000,5,10,0.008318168207101894,0.0036920835528783725,0.009707486380267184,0.004626006506724003,0.056206376244748835,0.04569615436505377,0.0947385533889589,0.0851632727420686,1.0,109.7,7.106643104553223,1.4303040602559574
5000,5,10,0.006328307367708001,0.0018306457176488712,0.007771100973922302,0.002221057971552087,0.08965416767340294,0.05552278789602688,0.14998871902803249,0.09148243748328826,0.9,132.6,13.02933235168457,3.53730626987121
8000,5,10,0.005947768874676257,0.003215101897113134,0.006984493338617154,0.0036953649215298637,0.038270359549758895,0.04171548643603639,0.06404968572705268,0.07632480628678151,1.0,110.4,19.120342755317687,5.114667483653268
