sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K1,bic_K2,bic_K3,bic_K4
0,2000,2,2,1,0,0,11.562403917312622,50463.42743458916,49224.53963256427,49346.15227059257,49467.08822805265
1,2000,2,2,1,0,0,11.780230045318604,48239.88929074249,46885.308854522504,46988.430558082495,47094.45466364064
2,2000,2,2,1,0,0,11.069222927093506,49695.21366242793,45673.70766518626,45785.42809782851,45926.603796417025
3,2000,2,2,1,0,0,11.239457130432129,52165.40427888637,50469.08038283006,50595.064595016665,50720.58070490846
4,2000,2,2,1,0,0,11.871256828308105,52065.880769380245,51549.91418155055,51674.328330213386,51788.77407763609
5,2000,2,2,1,0,0,11.890315055847168,48323.77384976551,47775.30379689689,47902.48097254604,48015.87020683804
6,2000,2,2,1,0,0,11.351781845092773,49344.102995269976,47012.79348746974,47128.19036225537,47235.9346438348
7,2000,2,2,1,0,0,11.79229474067688,49064.28980509132,47732.745292593616,47848.79217886794,47970.58560319398
8,2000,2,2,1,0,0,11.419028043746948,49817.45457107019,46605.009244095156,46727.98295873002,46850.887139324885
9,2000,2,2,1,0,0,11.380796909332275,51400.41375020524,50069.53521429274,50187.33726327811,50303.89472072784
