sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K3,bic_K4,bic_K5,bic_K6,bic_K7
0,8000,5,5,1,0,0,127.0855188369751,209850.6711042789,207606.46220875232,206797.95313025868,206944.691606191,207088.25605122666
1,8000,5,5,1,0,0,124.46838688850403,206858.80521676075,204745.54319587373,203278.3513950618,203418.05656362307,203584.3109728064
2,8000,5,5,1,0,0,141.15657806396484,212752.9071288921,211430.16845094218,211208.22526819067,211358.79938152223,211515.55751481475
3,8000,5,5,1,0,0,127.22149515151978,210520.98065954007,208055.51719413046,206438.34792707415,206586.8640503685,206737.74192359613
4,8000,5,5,1,0,0,139.47473096847534,207784.2354773135,206578.340512296,206078.01172611164,206223.69303354336,206372.9131732439
5,8000,5,5,1,0,0,125.11053204536438,209550.63107813278,207801.03951029992,206839.9056437634,206981.4552309437,207095.86640675465
6,8000,5,5,1,0,0,142.08207821846008,209778.14943674323,208149.91205336998,207287.45061659906,207437.46821711073,207581.5397397634
7,8000,5,5,1,0,0,118.75264286994934,206699.65770005362,204896.72528378264,203853.6584763503,203998.87890199703,204158.55721905307
8,8000,5,5,1,0,0,130.4539670944214,195176.32886550494,193437.45988763485,192790.83949190855,192923.15046519972,193073.16624011603
9,8000,5,5,1,0,0,139.33017897605896,203643.48510402942,202516.75797319884,201650.91198182513,201801.28293122753,201951.0100329833
