sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_1_0,conf_1_1
0,2000,2,0.008898675727444988,0.008898675727444988,0.012577122370043912,0.016063044608986606,0.9815,1,13,0,1100,19,18,863
1,2000,2,0.0014367205044187037,0.0014367205044187037,0.012753719352008069,0.0162981272615467,0.9305,1,34,0,1092,71,68,769
2,2000,2,0.006677623450985354,0.006677623450985354,0.014023258613090917,0.017353991421874288,0.9165,1,51,0,1172,92,75,661
3,2000,2,0.008695729276806202,0.008695729276806202,0.012953227932264055,0.016638325446743582,0.9605,1,33,0,1379,35,44,542
4,2000,2,0.00042465317994322405,0.00042465317994322405,0.013108238218644572,0.017688747556010215,0.9455,1,38,0,1249,51,58,642
5,2000,2,0.02407493068140895,0.02407493068140895,0.014826916504837178,0.018490059779880236,0.9255,1,53,0,1291,54,95,560
6,2000,2,0.01313827799585969,0.01313827799585969,0.019870155561063065,0.026969861022643378,0.9005,1,189,0,1633,45,154,168
7,2000,2,0.0002641822993105225,0.0002641822993105225,0.013664847951862878,0.016857970353428287,0.882,1,71,0,1145,113,123,619
8,2000,2,0.0030125594683838297,0.0030125594683838297,0.011045621444210639,0.013785417808719893,0.9435,1,32,0,1178,60,53,709
9,2000,2,0.027569878299216338,0.027569878299216338,0.01282018484547311,0.016205116394518014,0.9735,1,22,0,1196,15,38,751
10,2000,2,0.021809055660392207,0.021809055660392207,0.012602111526928004,0.015471237759501698,0.95,1,28,0,1013,46,54,887
11,2000,2,0.00667824502857188,0.00667824502857188,0.016094594919995958,0.021691652719634576,0.9445,1,46,0,1583,47,64,306
12,2000,2,0.004175856273288939,0.004175856273288939,0.01337302037346141,0.018255417158807182,0.9595,1,44,0,1597,37,44,322
13,2000,2,0.017797411547669284,0.017797411547669284,0.011301355317636042,0.01468450463563555,0.9665,1,18,0,1186,38,29,747
14,2000,2,0.01955845651469762,0.01955845651469762,0.011827416266458191,0.014711502475094892,0.9715,1,19,0,1109,29,28,834
15,2000,2,0.02647507912370492,0.02647507912370492,0.016999277637421532,0.023386753563677507,0.932,1,56,0,1448,78,58,416
16,2000,2,0.0022084514325348553,0.0022084514325348553,0.010405852496689908,0.012676412914831124,0.9565,1,30,0,1467,38,49,446
17,2000,2,0.00589815692375148,0.00589815692375148,0.011628940604085482,0.016121782799925898,0.9795,1,28,0,1340,23,18,619
18,2000,2,0.004806693048761135,0.004806693048761135,0.012974345880551075,0.016396817163497286,0.899,1,48,0,1004,83,119,794
19,2000,2,0.01147658635513818,0.01147658635513818,0.016478100852798695,0.021965312389304544,0.9705,1,28,0,1632,29,30,309
20,2000,2,0.012735169859980855,0.012735169859980855,0.1755654137135017,0.2506008951619589,0.085,1,61,0,92,876,954,78
21,2000,2,0.004888700192286127,0.004888700192286127,0.015201993873582504,0.018333274471822376,0.967,1,27,0,1196,25,41,738
22,2000,2,0.007990496996055335,0.007990496996055335,0.01421125583850243,0.018239511983032947,0.9625,1,33,0,1407,28,47,518
23,2000,2,0.024898155657977844,0.024898155657977844,0.014505758537796653,0.018101253762380462,0.9,1,58,0,1113,76,124,687
24,2000,2,0.005416439223286024,0.005416439223286024,0.011796192765246287,0.015382864177395582,0.9315,1,40,0,1056,59,78,807
25,2000,2,0.0047167957115202,0.0047167957115202,0.011289576098825522,0.014654766427206858,0.9615,1,21,0,1186,29,48,737
26,2000,2,0.004111555864459243,0.004111555864459243,0.01811384091308158,0.026304266027201716,0.9715,1,34,0,1615,25,32,328
27,2000,2,0.02261072433787005,0.022610724337870047,0.014762122345503564,0.019915196868581706,0.9475,1,41,0,1490,32,73,405
28,2000,2,0.0025707749331932844,0.0025707749331932844,0.014559024231731606,0.01989677537094324,0.98,1,34,0,1651,22,18,309
29,2000,2,0.011552854228819853,0.011552854228819853,0.015725017611638054,0.01910876556645657,0.9595,1,33,0,1292,43,38,627
30,2000,2,0.013783509043293271,0.013783509043293271,0.017453434293032644,0.024189210743683402,0.934,1,77,0,1604,41,91,264
31,2000,2,0.008740367964243323,0.008740367964243323,0.01234244547026422,0.01621379357913816,0.9425,1,30,0,1244,57,58,641
32,2000,2,0.0063786499579332745,0.0063786499579332745,0.015126177332270013,0.020015049594336854,0.973,1,29,0,1651,35,19,295
33,2000,2,0.013741424035140754,0.013741424035140754,0.01016326543688754,0.015916823856044284,0.985,1,25,0,1416,17,13,554
34,2000,2,0.007099721751013727,0.007099721751013727,0.012294886387644515,0.01632513427891006,0.954,1,35,0,1224,37,55,684
35,2000,2,0.0021515037624792177,0.0021515037624792177,0.012510910430386116,0.01762066195989603,0.972,1,23,0,1641,20,36,303
36,2000,2,0.02012924558943391,0.02012924558943391,0.01283475555033729,0.016261377606182625,0.9565,1,36,0,1565,36,51,348
37,2000,2,0.029252757568435775,0.029252757568435775,0.01461659317747882,0.017965700825166603,0.97,1,25,0,1544,26,34,396
38,2000,2,0.011134138283794115,0.011134138283794115,0.011068750180120613,0.015111441309796674,0.9475,1,25,0,1375,55,50,520
39,2000,2,0.005628748638948439,0.005628748638948439,0.01227919585123423,0.01518208194766271,0.9565,1,37,0,1406,39,48,507
40,2000,2,0.007914051108362019,0.007914051108362019,0.012085586622714684,0.017315959410523205,0.93,1,58,0,1414,65,75,446
41,2000,2,0.004385738578604859,0.004385738578604859,0.012189752175353692,0.01749135626580933,0.982,1,23,0,1557,20,16,407
42,2000,2,0.001692256725249669,0.001692256725249669,0.010896103620546976,0.013628432516106433,0.988,1,14,0,1058,14,10,918
43,2000,2,0.005760148961957423,0.005760148961957423,0.01492922699233526,0.019108783884094774,0.956,1,42,0,1524,33,55,388
44,2000,2,0.0005213842218535214,0.0005213842218535214,0.012701005442876542,0.01531218039889092,0.9325,1,42,0,1034,56,79,831
45,2000,2,0.0075841044527099055,0.0075841044527099055,0.01422170411055439,0.02046812056688499,0.9815,1,18,0,1568,12,25,395
46,2000,2,0.015301125719168349,0.015301125719168349,0.012916229428441575,0.01834115486427652,0.959,1,50,0,1613,35,47,305
47,2000,2,0.025407321334553146,0.025407321334553146,0.012931723125224986,0.018564843409935156,0.9625,1,29,0,1606,27,48,319
48,2000,2,0.005435862106497741,0.005435862106497741,0.014534821215865412,0.018136474876852354,0.9085,1,63,0,1221,99,84,596
49,2000,2,0.015875551278565506,0.015875551278565506,0.012209964267838203,0.015472636476017218,0.982,1,26,0,1600,11,25,364
