sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_1_0,conf_1_1,conf_1_2,conf_2_0,conf_2_1,conf_2_2
0,2000,3,0.007802358904220356,0.009456399821593164,0.013967242573701414,0.017798616432000133,0.941,1,44,0,926,20,25,21,619,5,39,8,337
1,2000,3,0.0015359550278336669,0.0016788020825630585,0.015824574498978564,0.020284383810965565,0.9535,1,40,0,783,7,3,10,672,28,6,39,452
2,2000,3,0.009855777533513818,0.011873960688111439,0.015154315595058454,0.02167976307412764,0.957,1,31,0,1257,13,6,20,400,16,15,16,257
3,2000,3,0.015364280344368958,0.017653778360136315,0.01828279211355078,0.023253401156716844,0.8875,1,44,0,713,43,15,62,636,26,46,33,426
4,2000,3,0.02697097874863331,0.03012973129060154,0.021863346302271047,0.029378864139072904,0.845,1,195,0,1128,51,47,99,357,55,32,26,205
5,2000,3,0.02302355014363718,0.02442454411145976,0.023628166609331085,0.03189681808534136,0.8775,1,84,0,1057,50,11,105,327,19,36,24,371
6,2000,3,0.014560920035521471,0.01556535393067917,0.017735828870834306,0.022190367592318967,0.8725,1,47,0,860,59,29,70,635,34,24,39,250
7,2000,3,0.00815254265749025,0.00988967649521599,0.016441148362693794,0.02198059145422664,0.9365,1,166,0,1245,24,9,33,346,22,10,29,282
8,2000,3,0.013214310367300622,0.014100675519318031,0.01697938131148519,0.02507503900196839,0.932,1,47,0,908,15,7,25,755,18,15,56,201
9,2000,3,0.005727424513204672,0.006801810053970542,0.01768682557721856,0.023633866372833556,0.933,1,35,0,1092,25,23,40,424,10,23,13,350
10,2000,3,0.008658402520142596,0.009634590390582379,0.0188424483341215,0.024391758438939686,0.897,1,87,0,931,21,13,30,627,50,18,74,236
11,2000,3,0.007902428338714393,0.00943201598702788,0.020866284933791026,0.026695030312476362,0.92,1,62,0,936,24,21,12,729,10,59,34,175
12,2000,3,0.007986003519392012,0.008911648124783083,0.015484206712948605,0.0207607195668389,0.898,1,63,0,829,43,16,43,767,21,33,48,200
13,2000,3,0.00799092865345429,0.008785695130711185,0.015791308741111756,0.020096175980306365,0.911,1,56,0,1101,33,30,31,401,27,33,24,320
14,2000,3,0.003518515820265818,0.004300169194384126,0.020346367702237723,0.02667619601643624,0.874,1,99,0,831,38,36,42,597,62,23,51,320
15,2000,3,0.009332764948015881,0.010306132299580467,0.019661020936402925,0.025940616887406686,0.882,1,79,0,827,64,38,67,731,7,52,8,206
16,2000,3,0.007150122244817074,0.007975800554182885,0.015583832554688766,0.019115794279157765,0.9155,1,52,0,618,61,8,52,608,14,18,16,605
17,2000,3,0.01123197075154316,0.011967230398059312,0.017272596661418435,0.021512810864405468,0.855,1,78,0,633,43,60,71,589,28,55,33,488
18,2000,3,0.01691020137309196,0.018988940373009446,0.022753827218160376,0.03155083640927411,0.88,1,126,0,910,41,46,52,675,19,68,14,175
19,2000,3,0.004784301755676383,0.00515836795223956,0.21573862367008498,0.30192383275452855,0.287,1,22,0,21,685,11,697,19,7,9,17,534
20,2000,3,0.010428749114622346,0.011250779821795452,0.014544943353632545,0.019152181132278526,0.9505,1,61,0,1145,24,14,28,471,18,4,11,285
21,2000,3,0.012828880510608773,0.015116075541325755,0.018433630737884343,0.02418791678289412,0.9085,1,68,0,1207,35,17,58,306,17,38,18,304
22,2000,3,0.005164485015122085,0.006075626771147608,0.018915180533624672,0.02496735748772805,0.874,1,72,0,834,41,33,28,659,64,42,44,255
23,2000,3,0.011077813695577754,0.012157470255812767,0.018704955467438042,0.023985577038977118,0.907,1,81,0,889,20,11,32,652,40,28,55,273
24,2000,3,0.002476284814356513,0.00286339821098007,0.019638805671274778,0.025867457870355104,0.9005,1,132,0,1065,26,40,20,446,32,44,37,290
