sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_0_3,conf_1_0,conf_1_1,conf_1_2,conf_1_3,conf_2_0,conf_2_1,conf_2_2,conf_2_3,conf_3_0,conf_3_1,conf_3_2,conf_3_3
0,1000,4,0.015721340111874604,0.01605691392649574,0.03285411278423459,0.041178316845167144,0.852,1,116,0,413,12,6,15,22,195,7,8,11,32,158,7,11,8,9,86
1,1000,4,0.005172008155393752,0.006264122245445225,0.1330604318747553,0.2253607491326813,0.617,1,82,0,431,9,5,3,12,169,11,6,17,10,8,140,7,10,153,9
2,1000,4,0.011176890917505108,0.013423453980193949,0.03079801973130495,0.04390476111757958,0.884,1,79,0,538,9,13,7,24,148,3,1,12,9,107,7,22,6,3,91
3,1000,4,0.007787202360641142,0.009440671639230897,0.023475101234575718,0.028272154343110128,0.902,1,67,0,306,6,7,3,4,206,11,12,8,14,191,12,3,7,11,199
4,1000,4,0.008813921230614953,0.011034606762586633,0.21528154672372954,0.28631778125649215,0.418,1,81,0,405,12,13,6,47,9,157,5,14,31,2,142,5,149,1,2
5,1000,4,0.008815579484114443,0.010609573820958033,0.15910713196439527,0.23930174184061842,0.742,1,97,0,367,12,5,4,6,367,5,3,18,2,5,88,9,6,100,3
6,1000,4,0.015280392545524824,0.01852507661829307,0.026008520835597543,0.034410848257908994,0.86,1,75,0,319,26,8,15,17,303,6,14,6,10,157,4,18,9,7,81
7,1000,4,0.01246894079153587,0.015181355463522669,0.03125027186637238,0.040099034635977734,0.806,1,139,0,322,31,14,13,16,264,10,11,26,22,115,5,24,20,2,105
8,1000,4,0.016551602808871045,0.019011530668662416,0.028697948941060297,0.03727720681671939,0.806,0,200,0,373,12,11,18,6,194,21,2,13,63,149,3,36,3,6,90
9,1000,4,0.016635139755483003,0.0197103913740261,0.028892836734723138,0.03700997665854655,0.912,1,60,0,350,10,5,5,6,250,2,5,7,5,169,4,21,17,1,143
10,1000,4,0.012294082088501874,0.014482146763216125,0.025834199461941564,0.03229490138129877,0.872,1,68,0,289,10,17,5,14,311,8,1,33,13,165,11,7,5,4,107
11,1000,4,0.004625334664672548,0.005837748389372229,0.15444431042643889,0.2457897881011765,0.314,1,49,0,11,311,2,6,326,12,3,10,7,6,162,3,5,7,0,129
12,1000,4,0.028111026286603034,0.03257503364977854,0.157588249880266,0.24773705310976926,0.616,0,200,0,401,21,15,14,51,208,34,6,12,7,2,116,11,7,90,5
13,1000,4,0.015084971599798977,0.017236562863187758,0.14876139282199666,0.2254262595561056,0.465,1,180,0,283,45,14,12,18,164,38,12,19,30,15,161,25,14,147,3
14,1000,4,0.041717518558262855,0.048678033206902185,0.19201787995989464,0.2829707559434237,0.527,1,89,0,378,14,5,4,15,2,175,4,47,169,3,10,15,10,5,144
15,1000,4,0.004327923319728734,0.005514626548473798,0.027559210162931856,0.0328258757762628,0.867,1,62,0,292,21,7,14,28,222,10,11,8,11,225,4,8,7,4,128
16,1000,4,0.005740687512707399,0.0067755491056582726,0.0301708911428075,0.04090340889473935,0.866,1,135,0,385,19,8,27,16,235,4,7,9,1,159,1,11,23,8,87
17,1000,4,0.016150719115442143,0.019278559491295744,0.03684149399575235,0.047345466424143695,0.884,1,190,0,488,9,4,3,15,179,1,12,27,2,142,10,14,4,15,75
18,1000,4,0.009977237629630237,0.011803297088157963,0.02719553018829359,0.034916824599827104,0.89,1,63,0,338,6,11,3,8,233,2,12,8,1,209,12,15,18,14,110
19,1000,4,0.014586161307597753,0.015716226817303343,0.02880623245765059,0.03624552615507319,0.903,1,39,0,383,6,7,14,10,276,18,10,7,12,137,3,5,5,0,107
20,1000,4,0.022381041412681206,0.023338815217162412,0.16988824779087452,0.24853907965362163,0.451,1,125,0,338,4,29,5,57,7,180,7,10,217,5,6,9,12,13,101
21,1000,4,0.019294918559977538,0.02158886494180755,0.026356918554957514,0.036996744224982656,0.88,1,127,0,356,13,9,12,10,271,3,0,35,4,122,19,5,0,10,131
22,1000,4,0.01336203854748582,0.015808565690124225,0.13347934165790715,0.19492259530735498,0.484,0,200,0,324,35,33,3,61,9,161,2,68,129,8,1,11,11,1,143
23,1000,4,0.010467866840486867,0.012042533868994338,0.13814469472684554,0.20255601624031047,0.345,1,191,0,23,261,12,13,218,9,22,6,44,6,175,28,12,4,29,138
24,1000,4,0.01158864799574142,0.01187528215443417,0.03502579624013634,0.044639654887509,0.868,1,101,0,344,20,11,14,13,309,16,5,3,21,109,5,13,8,3,106
25,1000,4,0.0175753169876706,0.02129311753549845,0.031175003357402274,0.04517474874647486,0.842,1,72,0,372,17,22,6,18,290,8,8,15,29,90,7,10,11,7,90
26,1000,4,0.010292231012003723,0.011301765979018464,0.03627131095805334,0.04758926137387628,0.84,1,191,0,557,16,6,17,25,86,10,11,13,11,112,9,33,4,5,85
27,1000,4,0.0218080508018777,0.022370454332411607,0.027056096823680476,0.035965869412779995,0.911,1,65,0,340,10,11,2,17,235,2,16,20,5,191,1,0,5,0,145
28,1000,4,0.0127307048909794,0.015276652724172713,0.025788720384703968,0.032571548953925694,0.895,1,53,0,449,10,18,6,13,178,4,12,17,1,159,4,9,8,3,109
29,1000,4,0.024859430413214423,0.028495106168983823,0.02871676905972307,0.036123490989774985,0.873,1,70,0,322,26,3,5,10,262,18,7,2,24,150,14,4,8,6,139
30,1000,4,0.0053128646927421905,0.0057943364416157975,0.02772934118329155,0.03897338176077847,0.869,1,63,0,319,3,14,3,8,233,14,14,11,29,211,13,5,15,2,106
31,1000,4,0.009131367769560722,0.011081567475264413,0.030159979121349434,0.040872559258458036,0.917,1,75,0,541,11,3,8,7,154,2,7,0,4,137,5,10,17,9,85
32,1000,4,0.018461340301653743,0.02110273270709938,0.12922288402829493,0.20924065690499677,0.356,1,59,0,16,272,7,6,283,13,7,10,24,5,204,20,4,4,2,123
33,1000,4,0.011318679680322553,0.013342054831053479,0.030312811357508317,0.04093504997506812,0.893,1,119,0,389,8,5,5,8,306,16,5,10,13,118,3,7,10,17,80
34,1000,4,0.017187501011980688,0.020705124645421156,0.03383359624756247,0.04443650799340901,0.878,1,96,0,264,17,7,8,20,246,2,3,10,7,267,11,8,24,5,101
35,1000,4,0.007642952525092259,0.009441620021783665,0.04143091746427653,0.05540179025010352,0.832,0,200,0,438,25,11,17,23,197,9,5,12,5,146,4,36,4,17,51
36,1000,4,0.01971774732292835,0.021860176330077724,0.029982057017536545,0.03945562307283003,0.805,1,155,0,273,30,19,13,12,234,18,16,13,11,177,11,13,31,8,121
37,1000,4,0.018128176873730383,0.01916207411868164,0.13785623948461526,0.21713710744244494,0.559,1,90,0,352,21,18,7,44,187,11,1,17,1,10,139,11,4,167,10
38,1000,4,0.02390590361363467,0.025211842078558637,0.028566017368176655,0.036911561602161726,0.886,1,166,0,395,8,4,5,4,221,5,10,3,4,176,5,7,34,25,94
39,1000,4,0.027117797643194046,0.028760097683766212,0.031019810727203695,0.03987669140843374,0.888,1,91,0,250,6,16,29,18,271,4,8,4,3,245,2,14,2,6,122
40,1000,4,0.00908999460860372,0.010688350098593234,0.02970849165920239,0.040684320267222615,0.89,1,45,0,450,10,3,10,5,175,8,3,21,17,138,7,20,3,3,127
41,1000,4,0.007272729362203599,0.009111479649183143,0.033878158404064385,0.04311086832355609,0.929,1,108,0,375,4,7,3,4,318,1,4,15,6,147,5,4,16,2,89
42,1000,4,0.022610205806529064,0.023564904187775335,0.030659097812272284,0.04072379404374965,0.875,1,82,0,390,26,15,3,23,204,5,10,8,2,208,9,5,17,2,73
