sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_0_3,conf_0_4,conf_1_0,conf_1_1,conf_1_2,conf_1_3,conf_1_4,conf_2_0,conf_2_1,conf_2_2,conf_2_3,conf_2_4,conf_3_0,conf_3_1,conf_3_2,conf_3_3,conf_3_4,conf_4_0,conf_4_1,conf_4_2,conf_4_3,conf_4_4
0,5000,5,0.007494175707162457,0.010934560598531177,0.143932093872291,0.2554316783400809,0.6602,1,198,0,2278,25,54,59,93,17,675,18,3,9,90,6,7,493,19,50,28,485,7,47,110,23,46,24,334
1,5000,5,0.0056433343485417144,0.007025853346787642,0.01128728668190059,0.014953120117165946,0.9116,1,49,0,1238,25,19,32,37,27,1187,24,27,21,19,26,1140,10,20,32,26,11,563,9,32,19,14,12,430
2,5000,5,0.005775819853520978,0.006754296832135714,0.12466264931852714,0.2194851496356041,0.5186,1,84,0,1615,106,64,71,40,70,12,778,11,8,106,719,19,19,31,91,47,25,545,44,80,38,22,37,402
3,5000,5,0.006472790865318439,0.007717725295938537,0.10269431629031445,0.16711449295509184,0.6676,0,200,0,1668,12,49,46,73,15,1005,40,34,14,63,42,589,29,27,95,13,46,46,459,131,30,36,408,30
4,5000,5,0.007930314449655317,0.008714048047573818,0.10046574002867584,0.18976090781136315,0.7052,1,146,0,2201,58,29,49,47,93,688,22,9,10,58,50,605,35,42,66,16,40,12,337,104,24,37,348,20
5,5000,5,0.004184088063261968,0.005253812511352323,0.01263876610318143,0.01661301307598978,0.8414,1,134,0,1186,93,15,29,11,68,921,38,57,27,14,33,878,61,14,16,73,76,777,53,21,47,8,39,445
6,5000,5,0.003226752896272603,0.0040908224743060155,0.09372969336697982,0.16750358787869885,0.5264,1,68,0,1067,87,27,46,56,85,939,27,48,14,44,66,82,799,26,19,26,850,70,10,72,26,11,29,474
7,5000,5,0.005176916588183489,0.007040998107749965,0.014425278361245774,0.018618297879981163,0.8082,1,129,0,1225,69,16,89,34,99,1059,81,18,44,38,79,678,5,83,128,10,7,553,13,25,34,69,18,526
8,5000,5,0.007665052926415991,0.008404433723738572,0.11325501976887303,0.20324777728869714,0.45,1,131,0,1270,137,55,51,18,32,41,1062,16,12,114,943,37,17,20,78,21,17,442,38,21,45,24,29,460
9,5000,5,0.009713827978747053,0.011774458801109257,0.17945083294204023,0.24715916529765206,0.1742,1,187,0,175,1235,43,41,18,1229,125,86,112,35,106,30,530,41,11,37,33,10,19,512,77,45,32,396,22
10,5000,5,0.0036660767864658077,0.004638181896262647,0.014793779127468027,0.020060673459476784,0.8032,1,145,0,1246,63,108,48,38,53,1018,23,3,27,158,46,667,83,30,66,4,72,692,10,57,37,45,13,393
